,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
62,63,Libya,5.754,1.13145,1.1186200000000002,0.7038,0.41668,0.18295,0.11023,2015
63,64,Russia,5.716,1.13764,1.23617,0.6692600000000001,0.36679,0.00199,0.03005,2015
64,65,Jamaica,5.709,0.81038,1.1510200000000002,0.6874100000000001,0.50442,0.2123,0.02299,2015
65,66,North Cyprus,5.695,1.2080600000000001,1.07008,0.92356,0.49027,0.26169000000000003,0.1428,2015
66,67,Cyprus,5.689,1.20813,0.89318,0.92356,0.40671999999999997,0.30638000000000004,0.06146,2015
67,68,Algeria,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17382999999999998,2015
68,69,Kosovo,5.5889999999999995,0.80148,0.81198,0.63132,0.24749000000000002,0.2831,0.04741,2015
69,70,Turkmenistan,5.547999999999999,0.95847,1.22668,0.53886,0.4761,0.16979,0.30844,2015
70,71,Mauritius,5.477,1.0076100000000001,0.98521,0.7095,0.56066,0.37744,0.07521,2015
71,72,Hong Kong,5.474,1.38604,1.05818,1.01328,0.59608,0.39478,0.37124,2015
72,73,Estonia,5.428999999999999,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184,2015
73,74,Indonesia,5.399,0.8282700000000001,1.0870799999999998,0.63793,0.46611,0.51535,0.0,2015
74,75,Vietnam,5.36,0.63216,0.9122600000000001,0.7467600000000001,0.59444,0.1686,0.10440999999999999,2015
75,76,Turkey,5.332000000000001,1.06098,0.94632,0.73172,0.22815,0.12253,0.15746,2015
76,77,Kyrgyzstan,5.2860000000000005,0.47428000000000003,1.15115,0.65088,0.43477,0.3003,0.042319999999999997,2015
77,78,Nigeria,5.268,0.65435,0.9043200000000001,0.16007000000000002,0.34334000000000003,0.27233,0.0403,2015
78,79,Bhutan,5.252999999999999,0.77042,1.10395,0.57407,0.5320600000000001,0.47998,0.15445,2015
79,80,Azerbaijan,5.212000000000001,1.02389,0.9379299999999999,0.64045,0.3703,0.07799,0.16065,2015
80,81,Pakistan,5.194,0.59543,0.41411000000000003,0.51466,0.12102,0.33671,0.10464000000000001,2015
81,82,Jordan,5.192,0.9019799999999999,1.05392,0.69639,0.40660999999999997,0.11052999999999999,0.14293,2015
82,82,Montenegro,5.192,0.9743799999999999,0.9055700000000001,0.72521,0.1826,0.1614,0.14296,2015
83,84,China,5.14,0.89012,0.94675,0.81658,0.5169699999999999,0.08185,0.02781,2015
84,85,Zambia,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468,2015
85,86,Romania,5.124,1.04345,0.8858799999999999,0.7689,0.35068,0.13748,0.006490000000000001,2015
86,87,Serbia,5.122999999999999,0.92053,1.0096399999999999,0.74836,0.20107,0.19230999999999998,0.02617,2015
87,88,Portugal,5.102,1.15991,1.13935,0.8751899999999999,0.51469,0.13719,0.01078,2015
88,89,Latvia,5.098,1.11312,1.09562,0.72437,0.29671,0.18225999999999998,0.06332,2015
89,90,Philippines,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279000000000001,2015
90,91,Somaliland region,5.0569999999999995,0.18847,0.95152,0.43873,0.46581999999999996,0.5031800000000001,0.39928,2015
91,92,Morocco,5.013,0.7347899999999999,0.64095,0.60954,0.41691000000000006,0.07172,0.08546000000000001,2015
92,93,Macedonia,5.007,0.91851,1.00232,0.73545,0.33457,0.22359,0.053270000000000005,2015
93,94,Mozambique,4.971,0.08308,1.02626,0.09131,0.34037,0.22269,0.15603,2015
94,95,Albania,4.959,0.8786700000000001,0.8043399999999999,0.81325,0.35733000000000004,0.14272,0.06412999999999999,2015
95,96,Bosnia and Herzegovina,4.949,0.8322299999999999,0.9191600000000001,0.79081,0.09245,0.24808000000000002,0.00227,2015
96,97,Lesotho,4.898,0.37545,1.04103,0.07612000000000001,0.31767,0.16388,0.12504,2015
97,98,Dominican Republic,4.885,0.8953700000000001,1.17202,0.66825,0.57672,0.21684,0.14234000000000002,2015
98,99,Laos,4.876,0.5906600000000001,0.73803,0.54909,0.59591,0.42191999999999996,0.24249,2015
99,100,Mongolia,4.874,0.82819,1.3006,0.60268,0.43626000000000004,0.3323,0.026660000000000003,2015
100,101,Swaziland,4.867,0.71206,1.07284,0.07566,0.30658,0.18259,0.0306,2015
101,102,Greece,4.857,1.15406,0.9293299999999999,0.88213,0.07699,0.0,0.013969999999999998,2015
102,103,Lebanon,4.8389999999999995,1.0256399999999999,0.80001,0.83947,0.33916,0.21854,0.04582,2015
103,104,Hungary,4.8,1.12094,1.20215,0.75905,0.32111999999999996,0.128,0.02758,2015
104,105,Honduras,4.788,0.59532,0.9534799999999999,0.6951,0.40148,0.23026999999999997,0.06825,2015
105,106,Tajikistan,4.7860000000000005,0.39047,0.8556299999999999,0.5737899999999999,0.47216,0.22974,0.15072,2015
106,107,Tunisia,4.739,0.88113,0.60429,0.73793,0.26268,0.06431,0.06358,2015
107,108,Palestinian Territories,4.715,0.59867,0.92558,0.66015,0.24499,0.11250999999999999,0.12905,2015
108,109,Bangladesh,4.694,0.39753,0.43106000000000005,0.60164,0.4082,0.21222,0.12569,2015
109,110,Iran,4.686,1.0088,0.54447,0.69805,0.30033000000000004,0.38086,0.058629999999999995,2015
110,111,Ukraine,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961,2015
111,112,Iraq,4.677,0.98549,0.81889,0.60237,0.0,0.17922000000000002,0.13788,2015
112,113,South Africa,4.6419999999999995,0.9204899999999999,1.18468,0.27688,0.33207,0.11972999999999999,0.08884,2015
113,114,Ghana,4.633,0.5455800000000001,0.6795399999999999,0.40131999999999995,0.42341999999999996,0.23087,0.04355,2015
114,115,Zimbabwe,4.61,0.271,1.0327600000000001,0.33475,0.25861,0.18987,0.08079,2015
115,116,Liberia,4.571000000000001,0.0712,0.78968,0.34201,0.28531,0.24361999999999998,0.06232000000000001,2015
116,117,India,4.565,0.64499,0.38174,0.5152899999999999,0.39786,0.26475,0.08492000000000001,2015
117,118,Sudan,4.55,0.52107,1.01404,0.36878,0.10081,0.19062,0.1466,2015
118,119,Haiti,4.518,0.26673,0.74302,0.38847,0.24425,0.46187,0.17175,2015
119,120,Congo (Kinshasa),4.5169999999999995,0.0,1.0012,0.09806000000000001,0.22605,0.24834,0.07625,2015
120,121,Nepal,4.513999999999999,0.35996999999999996,0.86449,0.5687399999999999,0.38282,0.32295999999999997,0.059070000000000004,2015
121,122,Ethiopia,4.512,0.19072999999999998,0.60406,0.44055,0.4345,0.24325,0.15048,2015
